Townland,1841 Male,1841 Female,1841 Inhabited,1841 Uninhabited,1851 Male,1851 Female,1851 Inhabited,1851 Uninhabited,1861 Male,1861 Female,1861 Inhabited,1861 Uninhabited,1871 Male,1871 Female,1871 Inhabited,1871 Uninhabited,1881 Male,1881 Female,1881 Inhabited,1881 Uninhabited,1891 Male,1891 Female,1891 Inhabited,1891 Uninhabited
PARK (ED Ballingate),54,38,13,,47,25,10,,32,29,10,,27,27,10,1,25,33,9,,20,29,10,
RAHEENGRANEY,95,83,24,1,84,67,21,3,62,51,19,1,59,62,19,,55,55,18,1,48,37,17,
TOTAL,696,628,192,1,467,418,146,6,381,355,124,3,344,344,115,2,322,349,112,4,282,278,108,1
BALLYMARROGE,31,33,10,2,18,20,6,2,18,14,6,,16,13,4,,15,9,4,,8,10,3,1
BALLYNULTAGH,313,308,102,5,169,180,61,7,125,97,37,2,142,149,50,,155,151,52,1,166,154,55,4
BALLYRAHEEN,98,106,31,2,85,95,28,,72,70,23,,66,71,23,1,64,61,24,1,50,51,24,1
CRONELEA,67,63,18,1,27,21,7,1,23,15,6,,21,30,7,,25,33,8,1,28,29,10,
KILQUIGGIN,98,96,31,3,61,67,23,5,31,25,10,,24,25,9,,25,19,7,1,23,20,8,
KNOCKATOMCOYLE,194,190,58,2,133,103,44,3,104,90,40,1,111,88,34,,102,93,35,1,84,81,32,
LARAGH,41,41,13,2,23,18,9,3,20,16,6,1,14,19,8,,15,21,6,,15,17,5,
NEWTOWN (ED Tinahely),83,76,25,1,39,43,13,3,36,41,10,,21,20,8,,17,24,8,1,20,16,8,
SESKIN,51,42,13,1,44,37,12,,39,34,12,,27,52,11,,29,28,10,,24,23,10,
STRANAKELLY,109,91,33,,70,62,25,2,68,64,20,1,66,52,19,,44,48,18,1,30,30,18,
,,,,,,,,,536,466,170,5,508,499,171,1,491,487,172,7,457,431,173,6
KILQUIGGIN T,,,,,,,,,67,63,27,2,20,21,12,,14,22,12,1,21,20,11,
TOTAL,1085,1046,334,19,669,651,228,26,603,529,197,7,528,520,183,1,505,509,184,8,478,451,184,6
TOTAL OF BARONY,,,,,,,,,,,,,,,,,,,,,3139,2937,1123,37
BALLYDONNELL NORTH,34,30,8,,22,13,5,,20,16,5,,14,13,5,,13,11,5,,15,12,4,
BALLYDONNELL SOUTH,11,11,3,,1,,1,,1,,1,,,3,1,,3,3,1,,3,2,1,
BALLYLOW,57,42,13,,39,34,12,,10,10,2,,8,5,2,,7,4,2,,7,4,1,1
BALLYNABROCKY,22,22,7,,23,24,8,,19,18,6,,18,18,3,,15,18,6,,14,17,6,
BALLYNASCULLOGE LOWER,18,11,2,,13,7,2,,10,5,2,,9,5,2,,10,10,2,,11,12,2,
BALLYNASCULLOGE UPPER,20,20,5,,14,17,4,,9,9,2,,11,7,3,,13,11,3,,14,8,3,
BALLYNATONA,36,30,10,,32,26,8,1,32,30,6,,21,17,6,1,24,14,6,,23,18,6,
BALLYSMUTTAN LOWER,13,10,3,,11,13,3,,17,9,2,,16,26,5,,13,5,2,,14,4,2,
BALLYSMUTTAN UPPER,18,10,4,,20,12,4,,19,25,5,,14,7,2,,13,20,5,,15,15,5,
BALLYWARD,10,11,2,,12,11,2,,7,8,2,,5,5,2,,,,,,4,8,2,
BLACKROCK,31,14,6,,14,13,5,,18,16,4,,19,13,4,,,,,,13,7,4,
BLESSINGTON,1,,1,,8,4,2,1,10,3,2,1,,,,,,,,,8,11,4,
BLESSINGTON DEMESNE,23,20,6,1,3,3,2,1,16,9,4,,11,10,4,,,,,,20,8,5,
BUTTERHILL,33,38,10,1,36,32,10,2,26,21,7,,23,17,7,,,,,,17,13,6,
CROSSCOOLHARBOUR,50,32,12,,40,25,11,1,49,35,11,,38,27,10,,,,,,30,34,9,3
DEERPARK (ED Blessington),5,3,2,,4,4,2,,4,3,2,,6,7,2,,,,,,5,4,2,
DILLONSDOWN,31,20,7,,20,19,8,,13,15,7,,16,16,7,,,,,,12,10,5,
EDMONDSTOWN,,,,,,,,1,2,6,1,,1,1,1,,,,,,3,1,1,2
HAYLANDS,39,30,9,1,12,8,3,1,42,38,11,,35,30,10,,,,,,4,4,2,1
HEMPSTOWN,15,11,4,1,13,8,5,,8,9,4,,8,16,4,,,,,,9,11,4,
HOLYVALLEY,,,,,,,,,,,,,,,,,,,,,,,,
KNOCKIERAN LOWER,59,65,17,,24,26,9,,29,21,9,,29,28,9,,,,,,16,15,6,
KNOCKIERAN UPPER,30,26,9,,19,21,5,,8,19,4,,6,8,3,,,,,,17,22,4,
LUGNAGUN GREAT,33,40,11,,36,38,11,,33,37,11,,37,35,12,,,,,,36,35,12,
LUGNAGUN LITTLE,11,9,2,,9,7,2,,7,5,2,,8,9,2,,,,,,6,9,2,
NEWPADDOCKS,,,,,,,,,,,,,,,,,,,,,,,,
OLDCOURT,182,180,54,2,124,119,37,,117,100,32,,107,93,26,,,,,,75,75,27,
OLDPADDOCKS,7,6,1,,7,3,1,,5,4,1,,1,2,1,,,,,,2,2,1,
RATHNABO,24,26,6,,24,18,7,,21,16,6,,20,15,5,,,,,,11,8,4,
SANTRYHILL,13,11,4,,5,8,2,1,1,3,1,,1,2,1,,,,,,4,3,1,
THREECASTLES,77,71,21,1,45,40,13,,48,36,11,,42,47,12,1,,,,,44,32,12,1
,903,799,239,7,630,553,184,9,601,525,163,1,524,482,154,2,,,,,458,394,143,8
BLESSINGTON T,231,235,66,5,290,265,76,6,241,219,63,5,184,223,64,1,,,,,162,174,62,3
TOTAL,1134,1034,305,12,920,818,260,15,842,745,226,6,708,705,218,3,,,,,620,568,205,11
ANNACRIVEY,34,36,10,,40,24,8,,28,17,6,,22,10,6,,,,,,22,21,6,
BALLINAGEE,14,9,3,,8,10,3,,9,6,2,,7,5,1,,,,,,5,2,1,
BALLINAHOWN,44,37,9,,35,33,9,1,29,30,8,,33,25,10,,,,,,28,19,7,
BALLYKNOCKAN,187,164,51,2,33,44,15,1,54,55,19,,40,33,12,,,,,,16,18,8,
BALLYNASTOCKAN,108,121,36,,107,95,31,,81,79,26,,78,77,27,,,,,,71,57,25,
BALLYNULTAGH,19,20,5,,17,14,4,,15,12,4,,13,12,4,1,,,,,12,12,4,
BAWNOGE (ED Togher),16,13,4,,23,13,5,,13,9,4,,12,11,2,,,,,,15,15,4,
BLACKDITCHES LOWER,14,12,4,1,25,23,7,,11,10,4,,13,8,4,,,,,,13,8,3,
BLACKDITCHES UPPER,28,26,7,,27,25,8,,38,25,10,,31,27,9,,,,,,20,16,7,
BOYSTOWN or BALTYBOYS LOWER,141,119,35,,118,89,29,,99,78,25,,87,64,27,,,,,,46,46,20,7
BOYSTOWN or BALTYBOYS UPPER,222,181,65,,120,108,37,1,102,80,27,1,87,87,33,,,,,,64,45,21,2
CARRIG,38,46,14,,37,33,14,,41,37,14,,41,35,11,,,,,,31,35,11,1
CARRIGACURRA,100,80,26,,100,75,26,,93,65,23,,84,49,23,1,,,,,84,68,22,
GARRYKNOCK,48,44,14,,42,37,12,,28,30,9,,26,25,10,,,,,,36,27,10,
GLENBRIDE,24,21,6,2,23,14,7,,15,11,6,,15,14,5,,,,,,12,10,4,
GRANABEG LOWER,23,17,5,,17,13,3,,20,17,5,1,22,18,6,,,,,,16,14,5,1
GRANABEG UPPER,36,36,8,,18,16,4,,16,22,5,1,18,27,6,1,,,,,14,9,4,
HUMPHRYSTOWN,92,85,25,,50,55,19,,53,42,17,,48,37,20,,,,,,33,27,12,
KILBEG,126,108,47,,133,102,40,2,104,92,35,,92,88,34,,,,,,78,76,34,2
KNOCKALT LOWER,21,16,5,,19,22,4,,15,17,4,,9,16,4,,,,,,9,19,5,
KNOCKALT UPPER,14,7,3,1,14,6,2,1,11,7,2,1,14,10,3,,,,,,8,9,3,
LACKAN,279,271,91,1,245,238,71,6,214,226,71,2,198,171,68,,,,,,162,153,63,3
LUGNAGROAGH,26,24,9,,21,19,6,3,4,6,2,,6,4,2,,,,,,13,12,6,
MONAMUCK,71,70,23,,77,65,27,1,66,72,29,,64,59,27,,,,,,43,40,21,1
RATHBALLYLONG,8,9,2,,21,17,5,,19,13,3,,4,7,3,,,,,,9,8,3,
SROUGHAN,55,43,13,2,50,54,15,2,41,38,16,,41,45,16,,,,,,31,28,12,1
TOGHER,27,24,9,,35,26,10,,26,34,10,,29,27,10,1,,,,,21,22,8,2
TULFARRIS,9,12,3,,8,11,3,,7,7,3,,9,8,4,,17,20,5,,10,14,7,
VALLEYMOUNT or CROSS,94,75,24,,55,48,18,,49,47,17,,42,42,20,,34,37,13,1,34,35,14,5
,1918,1726,556,9,1518,1329,442,18,1301,1184,406,6,1191,1045,407,4,1274,1068,433,4,962,865,351,25
BALLYKNOCKAN T,,,,,198,155,52,,167,138,44,,162,116,47,3,,,,,144,113,51,
TOTAL,1918,1726,556,9,1716,1484,494,18,1468,1322,450,6,1353,1161,454,7,1274,1068,433,4,1106,978,402,25
BURGAGE MORE,88,85,26,1,39,32,15,2,32,31,14,,39,36,11,1,35,33,11,1,30,25,12,
BURGAGE MOYLE,54,50,17,,26,28,12,,30,23,12,,32,20,11,,29,17,16,,11,9,8,1
GLASHINA,42,43,13,,33,19,8,1,13,10,8,,14,12,5,,17,13,6,,8,11,4,2
RUSSBOROUGH,54,54,13,1,34,51,12,1,18,30,12,,41,35,14,,20,20,9,2,12,15,7,4
RUSSELLSTOWN,21,15,5,,19,9,5,,18,12,5,,14,7,3,,6,6,2,,6,5,1,1
TOTAL,259,247,74,2,151,139,52,4,111,106,51,,140,110,44,1,107,89,38,3,67,65,32,8
CREHELP,220,238,78,1,142,130,45,,114,94,39,,99,96,36,,87,88,34,,77,75,33,1
KINSELLASTOWN,29,20,6,,19,17,7,,16,10,5,,15,11,5,,16,9,4,1,8,8,4,
LEMONSTOWN,82,76,22,1,63,55,17,,58,47,17,,52,50,16,,57,42,16,,44,35,16,
TOTAL,331,334,106,2,224,202,69,,188,151,61,,166,157,57,,160,139,54,1,129,118,53,1
BALLYLION BAWN,6,2,2,,2,,1,,2,2,1,,,,,,,,,,,,,
BALLYLION LOWER,17,19,5,,10,7,4,,4,5,2,,7,10,3,,10,8,3,,9,5,2,1
BALLYLION UPPER,7,14,2,,4,6,1,,2,3,1,,4,5,1,,2,5,1,,5,5,1,
BALLYMOONEY,30,33,10,,23,17,5,,21,14,6,,21,16,5,,14,10,3,,16,8,4,
BLACKMOOR,37,43,10,,25,19,7,1,27,23,6,,15,13,5,,18,10,5,,12,6,5,
BROOMFIELDS,24,22,7,,20,16,5,,22,18,5,,16,11,5,,18,16,6,,10,11,5,
COOLHARBOUR LOWER,4,3,1,,4,1,1,,4,3,1,,4,3,1,,4,2,1,,2,3,1,
COOLHARBOUR UPPER,3,3,1,,3,5,1,,5,2,1,,1,,1,,2,2,1,,3,1,1,
CRICKAWN,9,14,4,,8,10,3,,6,10,3,,3,5,2,,2,5,2,,2,3,2,
DOODYS BOTTOMS,14,16,3,,14,12,4,,11,9,6,,8,5,3,,3,2,2,,1,2,2,
DONARD DEMESNE EAST,14,20,5,2,4,5,1,,12,10,3,,,,,,8,8,3,1,9,15,5,
DONARD DEMESNE WEST,2,3,1,,,,,,,,,,,,,,,,,,2,,1,
DONARD LOWER,21,15,4,,12,9,2,,9,4,2,,13,4,2,,8,4,2,,7,3,2,
DONARD MOUNTAIN,19,15,8,,2,2,1,,2,4,1,,,,,1,1,1,1,,3,2,2,
DONARD UPPER,6,3,1,,6,4,2,,12,5,2,,,,,,,,,,,,,
INTACK,8,6,2,,5,4,2,,6,7,3,,6,5,2,,1,3,1,,3,2,1,
IRISHTOWN EAST,11,14,3,,5,6,1,,3,4,1,,2,3,1,,2,2,1,,2,3,1,
IRISHTOWN PARK,1,2,1,,6,3,1,,3,4,1,,2,4,1,,2,2,1,,2,1,1,
IRISHTOWN WEST,2,2,1,,3,1,1,,1,1,1,,1,2,1,,,,,1,1,2,1,
KILBAYLET LOWER,62,58,17,,13,9,3,,12,11,3,,13,8,3,,12,8,3,,6,9,3,
KILBAYLET UPPER,29,20,8,,50,46,17,,48,42,16,1,31,31,15,,41,38,17,,43,32,15,1
KILCOAGH EAST,22,19,4,5,15,15,4,,17,18,5,,17,19,4,,9,10,4,,17,17,5,
KILCOAGH WEST,15,17,5,,7,13,3,,8,6,3,,5,6,1,,4,9,1,,4,5,1,
STUDFIELD NORTH,27,14,6,,28,20,7,,25,23,7,,24,17,6,,20,16,7,,18,16,6,
STUDFIELD SOUTH,26,28,11,,18,16,6,,13,13,4,,9,14,4,,9,13,4,,8,9,3,
,416,405,122,7,287,246,83,1,275,241,84,1,202,181,66,1,190,176,69,2,185,160,70,2
DONARD,247,266,81,4,161,167,58,14,145,158,66,5,161,157,72,2,135,127,59,3,105,107,55,6
TOTAL,663,671,203,11,448,413,141,15,420,399,150,6,363,338,138,3,325,303,128,5,290,267,125,8
ARDANAIRY,10,6,2,,,,,,3,4,1,,1,3,1,,,,,,,,,
BLACKHILL,51,39,14,1,6,4,2,,6,6,2,,3,3,1,,2,2,1,,4,2,1,
BOHERBOY,45,34,13,,27,16,6,,13,11,5,1,10,11,5,,10,9,5,,10,8,5,
BREWERSHILL,31,36,10,,13,9,3,,5,7,2,,6,5,2,,2,4,2,,2,3,2,
COWPASTURE,33,38,9,,13,9,4,,12,12,3,,10,10,3,,8,10,3,,6,5,2,
DECOY,24,22,8,,9,7,2,,6,6,2,,7,6,2,,8,4,2,,6,4,2,
DUNLAVIN LOWER,36,31,12,,10,10,5,,3,7,4,,5,6,4,,1,,1,,3,3,2,
DUNLAVIN UPPER,,,,,33,38,15,,43,33,17,,23,27,11,,33,29,10,1,21,21,11,1
FORRISTEEN,9,11,4,,28,28,9,,20,19,9,,22,21,9,,27,20,9,,30,20,7,1
KNOCKANDORT,11,7,2,,27,28,13,1,14,15,8,1,18,14,8,,16,13,8,,5,3,4,1
KNOCKNAGULL,63,63,21,,30,33,14,,16,17,8,,14,8,8,,13,9,6,,9,5,3,1
LORRUG,15,19,6,,16,12,6,,7,6,2,,7,5,2,,4,3,2,,6,5,2,
LOUGHMOGUE LOWER,8,7,1,,9,11,4,,8,8,3,1,8,8,4,,7,7,4,,7,3,2,
LOUGHMOGUE UPPER,69,62,18,,40,31,11,,21,16,5,1,12,13,5,,16,14,4,,10,11,5,
LUGATRYNA,24,18,8,,11,5,3,,4,7,2,,1,3,1,,6,6,2,,4,6,3,
MERGINSTOWN,23,23,9,,16,11,5,,22,19,8,,26,21,8,,20,21,8,1,28,23,10,
MERGINSTOWN DEMESNE,34,33,7,,25,22,5,1,22,17,4,,13,12,3,,9,12,4,,6,7,3,
MERGINSTOWN GLEN,40,32,10,,17,17,6,1,11,15,8,,18,20,7,,13,17,5,,14,19,5,
MILLTOWN,75,84,26,1,15,15,3,,23,18,4,,14,13,3,,11,9,3,,6,4,2,1
PLEZICA,10,5,2,,20,20,6,,15,17,5,,9,10,4,,7,13,4,1,8,10,3,
RATHBAWN,42,45,16,,30,23,10,,11,11,6,,3,11,3,,9,9,4,,8,5,3,
TOBERBEG,56,60,20,1,37,45,16,1,25,34,12,,26,41,13,,33,30,13,,32,27,10,
TORNANT LOWER,7,5,2,,14,5,3,,9,4,3,,6,8,3,,5,4,3,,11,5,3,
TORNANT UPPER,24,28,6,,21,21,6,,14,11,5,,12,14,5,,11,9,4,,12,7,4,
UPPERTOWN,42,45,15,,36,31,12,,29,24,10,,26,27,10,1,25,22,9,,19,22,9,
,782,753,241,3,503,451,169,4,362,344,138,4,303,320,125,1,296,276,116,3,267,228,103,5
DUNLAVIN T,486,504,143,6,379,378,139,11,334,324,122,8,337,314,130,2,323,292,121,9,282,261,104,4
TOTAL,1268,1257,384,9,882,829,308,15,696,668,260,12,640,634,255,3,619,568,237,12,549,489,207,9
ATHGARVAN,13,10,5,,8,6,2,2,8,7,2,,11,5,2,,7,10,2,,,,,1
ATHGREANY,22,20,6,1,22,18,5,,13,15,5,,13,9,4,,11,9,4,,11,13,6,
BALLINTOBER,29,31,8,,40,28,9,,29,18,5,1,18,19,5,1,19,15,5,1,17,10,5,
BALLYSIZE LOWER,18,15,4,,16,14,5,1,20,12,5,,18,12,5,,14,6,4,,7,8,4,
BALLYSIZE UPPER,5,8,2,,7,6,2,,6,2,1,,5,1,1,,2,1,1,,1,1,1,
BANNAGROE,,,,,8,2,1,,6,4,2,,7,6,1,,9,5,2,,7,4,2,
BLAKESTOWN LOWER,9,9,2,,11,9,2,,7,8,2,,7,8,2,,6,5,2,,4,2,1,
BLAKESTOWN UPPER,30,29,8,,21,19,5,,20,9,4,,14,12,4,,14,9,4,,4,9,4,1
BRITONSTOWN,35,32,10,,37,20,8,2,16,17,6,,13,14,6,1,11,14,5,2,5,3,3,
BROUGHILLS HILL,13,19,7,,14,20,6,,16,23,6,,14,13,6,,11,13,5,,8,12,4,
CONLANS HILL,12,20,5,,8,13,4,,5,8,2,,4,7,2,,6,12,3,,4,3,2,
COONMORE,6,5,1,1,5,3,1,1,9,8,2,,8,4,3,,12,8,3,,9,8,4,
CORRAGH,65,60,19,,29,26,8,,33,29,9,,39,34,10,1,32,29,11,,28,22,11,
DRAGOONHILL,32,32,9,,28,35,9,,17,17,6,1,18,17,6,,20,22,6,1,18,13,6,
DRUMREAGH,23,24,8,,10,7,3,,8,9,3,,11,7,3,,10,9,3,,8,12,3,
DUNBOYKE,48,38,12,1,23,21,7,,26,25,7,,24,28,7,,11,15,6,,9,15,6,
GLEBE (ED Hollywood),1,,1,,2,1,1,,2,1,1,,5,4,1,,3,1,1,,4,3,1,
GRANAMORE,111,102,33,2,57,51,16,,65,55,19,,64,60,21,,53,48,18,,48,36,15,
HARRISTOWN,15,15,7,,12,14,3,,10,11,2,,9,11,2,,7,10,2,,6,7,2,
HOLLYWOOD DEMESNE,,,,,,,,,,,,,,,,,,,,,,,,
HOLLYWOOD LOWER,42,33,10,,24,20,5,,14,13,3,,14,15,5,,17,15,5,,7,8,4,1
HOLLYWOOD UPPER,31,15,7,3,29,15,7,1,27,20,9,3,19,15,6,,23,21,8,2,29,21,9,4
JOHNSTOWN,56,52,11,1,54,39,10,,36,38,10,,32,36,10,,27,37,10,,23,24,10,
KIERNANS HILL,,,,,,,,,,,,,,,,,,,,,,,,
KILLERK,13,6,4,,,,,,,,,,,,,,,,,,,,,
KNOCKNABOLEY,49,30,12,,18,13,4,1,14,13,4,,13,10,3,1,14,11,3,,14,12,4,
KNOCKNADROOSE,49,35,15,,41,39,12,,42,39,12,,44,46,12,1,35,37,12,,37,36,13,
KNOCKNASTREILE,10,8,3,,7,6,1,,5,3,1,,3,2,1,,4,2,1,,3,3,1,
KNOCKROE,11,12,2,,14,17,3,,12,6,2,,10,7,2,,9,7,2,,3,2,1,
LOCKSTOWN LOWER,54,48,13,,50,45,13,,37,34,13,,36,26,13,,26,24,11,2,28,22,11,1
LOCKSTOWN UPPER,64,59,18,,58,47,15,,45,45,15,,48,39,15,,38,31,12,,26,27,12,
LUGGLASS LOWER,43,44,17,,34,36,8,,29,31,8,,24,28,9,,20,19,8,,18,21,8,
LUGGLASS UPPER,43,37,11,,23,12,4,,17,11,5,,17,20,6,,17,12,6,,14,8,6,
MULLYCAGH LOWER,90,92,26,,76,59,21,,58,48,21,1,53,41,21,,49,48,19,1,31,25,14,3
MULLYCAGH UPPER,33,29,10,,39,29,10,,33,20,9,,26,18,7,,17,12,6,,15,9,5,1
NEWTOWN (ED Hollywood),52,72,22,,31,27,7,1,26,22,7,,32,23,8,1,22,26,8,,17,15,7,1
OAKWOOD,35,31,10,,12,5,2,,15,14,5,,17,12,6,,17,14,5,,14,12,5,
RATHATTIN,63,57,16,,32,22,7,,28,25,8,,32,31,9,,23,19,8,1,27,14,8,
SCALP,31,34,9,1,40,39,12,,39,32,12,,36,34,12,,27,27,12,,23,32,12,
SLIEVECORRAGH,59,59,20,5,58,54,18,1,43,47,15,,61,36,15,,41,33,16,,37,33,16,
TOOR,72,71,27,,65,71,28,,61,59,28,,53,63,27,,30,43,20,1,34,34,16,1
WALTERSTOWN,10,8,3,,16,13,4,,12,10,3,,7,6,2,,6,5,2,,4,3,2,
WOODENBOLEY,32,40,9,,12,9,4,,14,10,5,,17,17,6,,14,11,5,,14,8,5,
TOTAL,1429,1341,422,15,1091,930,292,10,923,818,284,6,800,700,286,6,740,695,266,11,616,550,249,14
AGHFARRELL,1,,1,,,,,1,1,,1,,,,,1,5,2,1,,2,3,1,
ATHDOWN,59,55,17,1,44,36,11,3,30,29,7,1,34,31,8,1,24,18,5,2,16,13,6,3
BALLYFOLAN,50,32,12,1,34,22,9,1,18,20,5,,20,22,6,,15,16,5,,14,11,5,
BALLYFOYLE,5,2,1,1,5,4,1,,5,5,1,,2,5,1,,7,4,2,,6,1,1,
BRITTAS,5,2,1,,,,,,,,,,,,,,,,,,,,,
BUTTER MOUNTAIN,35,35,12,,27,19,8,2,20,15,7,1,15,7,7,,15,16,7,,14,18,6,1
CARRIGNAGOWER,11,8,3,,7,6,2,1,10,7,2,,7,7,2,,6,5,2,,6,5,2,
CLOGHLEAGH,25,20,9,2,19,20,6,3,22,14,6,,19,16,8,,21,10,6,1,17,14,6,1
GOLDENHILL,33,33,13,,20,17,6,1,14,14,4,,6,8,2,1,7,6,3,,8,7,3,
KILBRIDE (Talbotstown Lower By),170,145,41,2,104,85,23,3,94,70,21,3,61,65,23,5,73,50,23,3,72,50,24,3
KIPPURE,19,17,8,,15,19,6,2,21,21,7,,28,25,8,,13,11,5,4,4,3,3,1
KIPPURE EAST,,,,,,,,,,,,,,,,,,,,,2,2,1,
KNOCKATILLANE,38,30,7,,32,28,7,1,45,38,9,,37,27,9,,32,26,9,1,20,11,8,1
KNOCKBANE,9,11,2,,2,2,1,,7,4,1,,9,4,1,,7,3,1,,6,3,1,
LISHEENS,13,7,3,,11,12,3,,10,8,3,,3,4,2,,5,7,2,,11,8,2,
MOANASPICK,16,11,4,1,15,9,4,,15,7,4,,13,16,4,,11,19,4,,11,11,4,
SCURLOCKSLEAP,30,31,12,,26,22,9,1,35,28,10,,27,28,8,,26,22,7,,21,14,7,
SHANKILL,11,8,2,,6,3,2,,7,11,3,,2,6,1,,5,6,1,,5,3,1,
TINODE,142,137,40,,86,81,27,4,77,58,22,,58,57,21,1,57,58,19,1,51,40,19,1
TOTAL,672,584,188,8,453,385,125,23,431,349,113,5,362,325,111,9,329,279,102,12,286,217,100,11
FRIARHILL,66,63,21,,31,36,14,2,33,32,11,,27,16,10,1,23,19,10,,20,18,7,
MANOFWAR,11,11,4,,5,6,2,,4,5,2,,4,4,2,,1,2,1,1,2,2,1,
SANDYHILLS,51,62,17,,34,35,11,1,38,33,12,,29,20,13,,38,40,13,,30,33,11,
TOBER DEMESNE,16,18,4,,5,11,3,1,14,10,4,,8,10,3,,12,15,4,,6,9,4,
TOBER LOWER,35,28,10,1,18,25,7,1,13,8,3,,11,9,3,,10,9,3,,8,5,3,
TOBER UPPER,48,53,16,,27,22,8,1,30,16,7,,26,15,7,1,22,14,7,,15,10,6,
WARDS of TOBER,59,55,19,,47,50,15,,21,22,10,,26,32,11,,26,20,10,,17,18,7,
TOTAL,286,290,91,1,167,185,60,6,153,126,49,,140,119,49,2,132,119,48,1,98,95,39,
TOTAL OF BARONY,,,,,,,,,,,,,,,,,,,,,3761,3347,1412,87
BALLYNURE,,,,,,,,1,,,,,,,,,,,,1,,,,
BALLYNURE DEMESNE,9,15,5,,10,10,5,,17,17,5,,17,16,6,,13,19,5,,11,11,5,1
BALLYNURE PARK,19,15,5,,18,19,5,,17,13,5,,15,11,6,,10,6,5,,9,11,5,
BARONSTOWN LOWER,15,18,6,,6,7,2,1,1,1,1,,4,3,1,,4,4,1,,3,4,1,
BARONSTOWN UPPER,6,7,3,,9,15,5,,8,5,2,,3,4,2,,5,8,2,,2,3,2,
BURROW,23,31,6,,11,13,3,,18,16,5,,6,13,4,,,,,,7,9,4,
GLENNACANON,36,26,8,,21,14,4,,13,8,4,,7,5,2,,,,,,6,3,2,1
GRANGECON DEMESNE,24,30,5,,12,12,5,1,11,14,5,,14,17,6,,,,,,16,20,6,
GRANGECON HILL,50,39,12,,29,30,7,,15,12,4,,28,17,5,,,,,,19,12,5,
GRANGECON LOWER,10,5,2,,9,6,2,,13,7,3,,3,4,1,,,,,,2,1,1,
GRANGECON PARKS,55,42,14,,25,27,9,1,14,20,9,,41,23,11,,,,,,36,24,11,
GRANGECON ROCKS,45,44,12,,22,23,8,2,20,19,7,,16,14,6,,,,,,19,9,7,
GRANGECON UPPER,15,17,3,,9,7,1,1,6,5,2,,4,7,2,,,,,,2,3,2,
GRIFFINSTOWN GLEN,26,21,6,,25,19,6,,18,19,6,,20,18,6,,,,,,7,8,2,1
GRIFFINSTOWN HILL,16,10,2,,15,12,3,,9,7,2,,16,17,5,,,,,,7,6,2,
GRIFFINSTOWN LOWER,15,21,5,,8,10,4,,6,11,3,,4,5,2,,,,,,1,3,1,
GRIFFINSTOWN UPPER,48,51,17,,37,30,15,,28,21,12,,6,13,4,,,,,,13,14,6,1
HARTSTOWN,40,33,14,,30,31,11,,23,19,9,,20,14,7,,,,,,12,5,6,
KNOCKANREAGH,14,16,6,1,13,12,6,,15,13,5,,10,10,4,,,,,,8,6,5,
KNOCKARIGG,36,38,11,,33,21,7,1,24,16,6,,17,12,6,,,,,,21,14,7,
KNOCKARIGG DEMESNE,2,4,1,,2,4,1,,3,2,1,,3,2,1,,,,,,2,4,1,
KNOCKARIGG HILL,22,28,6,,28,34,8,,15,13,4,1,13,11,5,,,,,,10,10,5,
KNOCKDOO,13,21,5,,12,9,4,,14,11,3,,16,12,4,,,,,,5,7,2,
KNOCKNAMUCK LOWER,15,16,5,,5,4,1,,6,5,2,,3,3,1,,,,,,5,4,2,
KNOCKNAMUCK UPPER,33,29,8,,10,6,2,,4,5,2,,5,6,2,,,,,,3,1,1,
KNOXTERSHILL,25,22,7,,9,7,4,1,11,12,3,,11,9,3,,,,,,5,8,4,
LACKAREAGH,51,48,13,,42,30,10,,30,25,10,,22,18,9,,,,,,17,17,8,
LOWTOWN,28,14,4,,16,13,3,,20,19,4,,18,20,4,,,,,,12,13,4,
MONATORE,40,34,12,,26,22,10,,17,18,7,,15,18,7,,,,,,8,9,5,
MONEYMORE,26,39,12,,21,19,10,,16,13,8,,11,14,6,,,,,,10,12,6,
OLDTOWN,24,30,8,,21,24,7,,19,20,7,,18,21,7,,,,,,17,19,7,
TINORANHILL NORTH,33,33,10,,13,8,3,,11,8,3,,10,8,3,,,,,,11,5,3,
TINORANHILL SOUTH,46,44,19,,13,8,5,,12,10,5,,7,9,4,,,,,,9,12,3,1
WHITEHILLS,11,6,4,,11,7,4,,8,9,3,,8,10,3,,,,,,6,6,2,
TOTAL,871,847,256,1,571,513,180,9,462,413,157,1,411,382,143,,,,,,321,293,133,5
BALTINGLASS EAST,36,36,14,,18,24,8,,4,6,3,,11,17,3,,,,,,11,20,7,1
BALTINGLASS WEST,20,29,10,,,,,,7,5,2,,,,,,,,,,4,4,1,1
BAWNOGE (ED Baltinglass),41,47,15,1,9,16,4,,8,11,4,,13,17,6,,,,,,7,11,5,1
BOLEY,35,22,8,,25,25,7,,18,20,6,,14,10,5,,,,,,13,10,4,
BOLEYLUG,30,32,14,,24,22,9,2,10,9,4,2,10,7,5,,,,,,10,6,3,1
CARSROCK,22,21,7,,4,7,2,,7,5,2,,7,5,2,,,,,,6,3,1,
CLOGHCASTLE,66,67,27,,24,26,9,,34,33,16,2,28,25,14,,,,,,27,15,9,1
CLOGH LOWER,47,46,16,,52,39,22,,26,28,12,,15,22,7,,,,,,17,18,9,
CLOGH UPPER,28,31,10,,23,25,8,,15,20,8,,11,28,6,,,,,,13,20,6,
